	Technique	Algorithm	Classifier	Seed	F1	F2	F3	F4	F5
0	Voting		VotingClassifier	0	0.0442155743980123	0.0494736842105263	0.9930747922437672	0.7829862422378825	0.7472180901972993
1	Fairlearn	false_positive_rate_parity	VotingClassifier	0	0.0348950732685506	0.1714619394000562	0.9937673130193906	0.782411239805848	0.7114193793890753
2	Fairlearn	true_positive_rate_parity	VotingClassifier	0	0.0350892701872355	0.4898441619309859	0.994459833795014	0.7827527065069156	0.6719691116722978
3	Fairlearn	equalized_odds	VotingClassifier	0	0.0665140005040446	0.1354218746875186	0.9937673130193906	0.7245285931722973	0.71596845054831
4	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	0	0.0444562841297453	0.0434972338096506	0.989612188365651	0.7705264840999327	0.732531143936686
5	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	0	0.0444562841297453	0.0434972338096506	0.989612188365651	0.7705264840999327	0.732531143936686
6	Proposal	nsga2	FairVotingClassifier	0	0.0323115845094771	0.0507440995647249	0.9764542936288088	0.805953220043831	0.7539215799325807
7	ProposalWeighted	F1_nsga2	FairVotingClassifier	0	0.0123594753481065	0.1298995187030313	0.9480609418282548	0.8060340738601312	0.6859488090158862
8	ProposalWeighted	F2_nsga2	FairVotingClassifier	0	0.0341490211699534	0.0544405334055371	0.9833795013850416	0.7829587874389802	0.7168179179975631
9	ProposalWeighted	F3_nsga2	FairVotingClassifier	0	0.0123760070077957	0.1294653782860036	0.9480609418282548	0.805953220043831	0.6859488090158862
10	ProposalWeighted	F4_nsga2	FairVotingClassifier	0	0.0446720082997375	0.0673860114629808	0.9937673130193906	0.7663867762582681	0.7195296794701783
11	ProposalWeighted	F5_nsga2	FairVotingClassifier	0	0.0123594753481065	0.1298995187030313	0.9480609418282548	0.8060340738601312	0.6859488090158862
12	Proposal	rnsga2	FairVotingClassifier	0	0.0359100522197899	0.0425761668684904	0.9813019390581718	0.805953220043831	0.7657699211648081
13	ProposalWeighted	F1_rnsga2	FairVotingClassifier	0	0.0359100522197899	0.0425761668684904	0.9826869806094184	0.805953220043831	0.7657699211648081
14	ProposalWeighted	F2_rnsga2	FairVotingClassifier	0	0.0359100522197899	0.0425761668684904	0.9813019390581718	0.805953220043831	0.7657699211648081
15	ProposalWeighted	F3_rnsga2	FairVotingClassifier	0	0.038082606048013	0.0379174200713787	0.9833795013850416	0.805953220043831	0.7728789259041448
16	ProposalWeighted	F4_rnsga2	FairVotingClassifier	0	0.038082606048013	0.0379174200713787	0.9833795013850416	0.805953220043831	0.7728789259041448
17	ProposalWeighted	F5_rnsga2	FairVotingClassifier	0	0.0359100522197899	0.0425761668684904	0.9826869806094184	0.805953220043831	0.7657699211648081
18	AIF360	AdversarialDebiasing	AdversarialDebiasing	0	0.0400577994069591	0.0618187082708816	1.0	0.7869984570931722	0.7548844378332046
19	AIF360	PostProcessingMeta	PostProcessingMeta	0	0.0028219769467444	0.0142120730356024	0.9293628808864266	0.7770763985104469	0.5903260648132133
20	Voting		VotingClassifier	1	0.0446602046797656	0.0430967410452143	0.9916897506925209	0.7843441880393085	0.7587691518880445
21	Fairlearn	false_positive_rate_parity	VotingClassifier	1	0.0361979620908192	0.2172992003819071	0.992382271468144	0.783778668569281	0.7223353239232718
22	Fairlearn	true_positive_rate_parity	VotingClassifier	1	0.0431394521567482	0.4244489208817266	0.9930747922437672	0.7843441880393085	0.712593497406201
23	Fairlearn	equalized_odds	VotingClassifier	1	0.0749358371936361	0.1918965158704652	0.9930747922437672	0.6844407030596147	0.6761672095548317
24	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	1	0.0451890479813112	0.0674768518518518	0.9875346260387812	0.764376834761202	0.7288273615635179
25	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	1	0.0451890479813112	0.0674768518518518	0.9875346260387812	0.764376834761202	0.7288273615635179
26	Proposal	nsga2	FairVotingClassifier	1	0.0307255592683868	0.0464655050290409	0.969529085872576	0.8040381993424361	0.7522318735673785
27	ProposalWeighted	F1_nsga2	FairVotingClassifier	1	0.0205752779240744	0.1150850287098016	0.9425207756232687	0.8034975291428612	0.7161599710459645
28	ProposalWeighted	F2_nsga2	FairVotingClassifier	1	0.0360149836212843	0.0632974731048285	0.9854570637119112	0.7810173359403509	0.7259545783568585
29	ProposalWeighted	F3_nsga2	FairVotingClassifier	1	0.0215602411502476	0.1142943197056945	0.9418282548476454	0.8039574108467179	0.7203824345518156
30	ProposalWeighted	F4_nsga2	FairVotingClassifier	1	0.0417015274627634	0.0693858415377403	0.9909972299168976	0.7735080906501386	0.7323636747496682
31	ProposalWeighted	F5_nsga2	FairVotingClassifier	1	0.0205752779240744	0.1150850287098016	0.9425207756232687	0.8034975291428612	0.7161599710459645
32	Proposal	rnsga2	FairVotingClassifier	1	0.0349444465766042	0.0457165560059796	0.9813019390581718	0.8039574108467179	0.7653064302087104
33	ProposalWeighted	F1_rnsga2	FairVotingClassifier	1	0.0349444465766042	0.0457165560059796	0.9813019390581718	0.8039574108467179	0.7653064302087104
34	ProposalWeighted	F2_rnsga2	FairVotingClassifier	1	0.0349444465766042	0.0457165560059796	0.9813019390581718	0.8039574108467179	0.7653064302087104
35	ProposalWeighted	F3_rnsga2	FairVotingClassifier	1	0.0331971599487797	0.0468317174515234	0.979224376731302	0.8034975291428612	0.7587691518880445
36	ProposalWeighted	F4_rnsga2	FairVotingClassifier	1	0.0341631965766042	0.0518141169815894	0.981994459833795	0.8039574108467179	0.762584449270117
37	ProposalWeighted	F5_rnsga2	FairVotingClassifier	1	0.0349444465766042	0.0457165560059796	0.9813019390581718	0.8039574108467179	0.7653064302087104
38	AIF360	AdversarialDebiasing	AdversarialDebiasing	1	0.0554264902159094	0.0635502708136313	1.0	0.766404830244308	0.7623280854144047
39	AIF360	PostProcessingMeta	PostProcessingMeta	1	0.014825656541384	0.0705432329048565	0.9529085872576176	0.7760808411444008	0.6425986246833152
40	Voting		VotingClassifier	2	0.0485924121901939	0.0081664987725801	0.9879347054648688	0.7825260260329346	0.7901970720720721
41	Fairlearn	false_positive_rate_parity	VotingClassifier	2	0.0389776989464484	0.1314945181765724	0.9893541518807664	0.7825260260329346	0.7540390390390391
42	Fairlearn	true_positive_rate_parity	VotingClassifier	2	0.0409484257418597	0.4586110825937503	0.992902767920511	0.7825260260329346	0.6981081081081082
43	Fairlearn	equalized_odds	VotingClassifier	2	0.0833743505605687	0.0750079668578712	0.9907735982966644	0.6538212334352448	0.6851295045045045
44	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	2	0.0491791432355911	0.0244107744107744	0.985805535841022	0.7647225276447284	0.7685078828828829
45	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	2	0.0491791432355911	0.0244107744107744	0.985805535841022	0.7647225276447284	0.7685078828828829
46	Proposal	nsga2	FairVotingClassifier	2	0.0427221022303869	0.0426581276799352	0.9751596877217884	0.799951401427303	0.8060641891891893
47	ProposalWeighted	F1_nsga2	FairVotingClassifier	2	0.0219081031655775	0.0501912823048108	0.9403832505322924	0.799389874072899	0.7405743243243244
48	ProposalWeighted	F2_nsga2	FairVotingClassifier	2	0.0525189068804837	0.0362540060550017	0.9751596877217884	0.7741924230427685	0.7924192942942944
49	ProposalWeighted	F3_nsga2	FairVotingClassifier	2	0.0219081031655775	0.0501912823048108	0.9403832505322924	0.799389874072899	0.7405743243243244
50	ProposalWeighted	F4_nsga2	FairVotingClassifier	2	0.0525189068804837	0.0362540060550017	0.9751596877217884	0.7741924230427685	0.7924192942942944
51	ProposalWeighted	F5_nsga2	FairVotingClassifier	2	0.0219776118805545	0.0457604711255333	0.9418026969481902	0.799389874072899	0.7409966216216216
52	Proposal	rnsga2	FairVotingClassifier	2	0.0465446544152909	0.0417999153478966	0.977998580553584	0.799389874072899	0.8163307057057057
53	ProposalWeighted	F1_rnsga2	FairVotingClassifier	2	0.0464939674738476	0.0374227120576498	0.9772888573456352	0.799389874072899	0.8159084084084084
54	ProposalWeighted	F2_rnsga2	FairVotingClassifier	2	0.0464939674738476	0.0374227120576498	0.9772888573456352	0.799389874072899	0.8159084084084084
55	ProposalWeighted	F3_rnsga2	FairVotingClassifier	2	0.0464939674738476	0.0374227120576498	0.9772888573456352	0.799389874072899	0.8159084084084084
56	ProposalWeighted	F4_rnsga2	FairVotingClassifier	2	0.0480785206191723	0.0438452636414916	0.977998580553584	0.799389874072899	0.8207751501501501
57	ProposalWeighted	F5_rnsga2	FairVotingClassifier	2	0.0464939674738476	0.0374227120576498	0.9772888573456352	0.799389874072899	0.8159084084084084
58	AIF360	AdversarialDebiasing	AdversarialDebiasing	2	0.0467103130290695	0.0196885313531353	1.0	0.780452157560148	0.7875731981981982
59	AIF360	PostProcessingMeta	PostProcessingMeta	2	0.001266071354748	0.0241799282377459	0.9283179559971612	0.7823265176908837	0.6475319069069069
60	Voting		VotingClassifier	3	0.0537028130770142	0.0072672672672672	0.9902845246356696	0.7838748022154136	0.7748788355687094
61	Fairlearn	false_positive_rate_parity	VotingClassifier	3	0.0418831539901608	0.1150704802749834	0.9902845246356696	0.783865301769232	0.731758782953202
