Technique	variable	value
AIF360, AdversarialDebiasing	F1	0.042970696700887
AIF360, AdversarialDebiasing	F1	0.0548063570510381
AIF360, AdversarialDebiasing	F1	0.0447905340845441
AIF360, AdversarialDebiasing	F1	0.0616165752811715
AIF360, AdversarialDebiasing	F1	0.0345045188436494
AIF360, AdversarialDebiasing	F1	0.0487801379142155
AIF360, AdversarialDebiasing	F1	0.0443481869211485
AIF360, AdversarialDebiasing	F1	0.0531268276642795
AIF360, AdversarialDebiasing	F1	0.0345063277099887
AIF360, AdversarialDebiasing	F1	0.0329291792956788
AIF360, AdversarialDebiasing	F1	0.0521762916608199
AIF360, AdversarialDebiasing	F1	0.053157185472703
AIF360, AdversarialDebiasing	F1	0.0445738715006587
AIF360, AdversarialDebiasing	F1	0.0426075849069341
AIF360, AdversarialDebiasing	F1	0.0455975743050563
AIF360, AdversarialDebiasing	F1	0.047420479159764
AIF360, AdversarialDebiasing	F1	0.0459869995802657
AIF360, AdversarialDebiasing	F1	0.0447586130194119
AIF360, AdversarialDebiasing	F1	0.037182632089569
AIF360, AdversarialDebiasing	F1	0.0622299511251184
AIF360, AdversarialDebiasing	F1	0.0433897818102261
AIF360, AdversarialDebiasing	F1	0.0683766730634515
AIF360, AdversarialDebiasing	F1	0.0367014245202601
AIF360, AdversarialDebiasing	F1	0.0383033155871603
AIF360, AdversarialDebiasing	F1	0.0620993293176935
AIF360, AdversarialDebiasing	F1	0.043694921742779
AIF360, AdversarialDebiasing	F1	0.0441885834395422
AIF360, AdversarialDebiasing	F1	0.0536285429411492
AIF360, AdversarialDebiasing	F1	0.049422388628257
AIF360, AdversarialDebiasing	F1	0.0390856711678704
AIF360, AdversarialDebiasing	F1	0.0082216740164362
AIF360, AdversarialDebiasing	F1	0.0089826926765611
AIF360, AdversarialDebiasing	F1	0.0188454300500406
AIF360, AdversarialDebiasing	F1	0.0227136404420555
AIF360, AdversarialDebiasing	F1	0.0043525868161017
AIF360, AdversarialDebiasing	F1	0.0017355621104915
AIF360, AdversarialDebiasing	F1	0.0115600160352339
AIF360, AdversarialDebiasing	F1	0.0114315998423547
AIF360, AdversarialDebiasing	F1	0.0057530167934985
AIF360, AdversarialDebiasing	F1	0.0059996697127793
AIF360, AdversarialDebiasing	F1	0.0148093790632242
AIF360, AdversarialDebiasing	F1	0.0050850537321997
AIF360, AdversarialDebiasing	F1	0.0108506249021285
AIF360, AdversarialDebiasing	F1	0.0104419676147864
AIF360, AdversarialDebiasing	F1	0.0123826353112031
AIF360, AdversarialDebiasing	F1	0.0012910549077854
AIF360, AdversarialDebiasing	F1	0.0034731279405655
AIF360, AdversarialDebiasing	F1	0.0054068166206219
AIF360, AdversarialDebiasing	F1	0.0216376295710887
AIF360, AdversarialDebiasing	F1	0.0185261558750818
AIF360, AdversarialDebiasing	F1	0.0035925339987659
AIF360, AdversarialDebiasing	F1	0.0022807211937313
AIF360, AdversarialDebiasing	F1	0.0022225222815742
AIF360, AdversarialDebiasing	F1	0.020348659558386
AIF360, AdversarialDebiasing	F1	0.0215303119034229
AIF360, AdversarialDebiasing	F1	0.0023230234502177
AIF360, AdversarialDebiasing	F1	0.0043129495382722
AIF360, AdversarialDebiasing	F1	0.0041007822274606
AIF360, AdversarialDebiasing	F1	0.0201002896900637
AIF360, AdversarialDebiasing	F1	0.0196689992646704
Fairlearn, equalized_odds	F1	0.0665140005040446
Fairlearn, equalized_odds	F1	0.0749358371936361
Fairlearn, equalized_odds	F1	0.0833743505605687
Fairlearn, equalized_odds	F1	0.0857399146625291
Fairlearn, equalized_odds	F1	0.0431631863853727
Fairlearn, equalized_odds	F1	0.0638402240148007
Fairlearn, equalized_odds	F1	0.0590058231829374
Fairlearn, equalized_odds	F1	0.0736928104575163
Fairlearn, equalized_odds	F1	0.0496823382130026
Fairlearn, equalized_odds	F1	0.0647805484631192
Fairlearn, equalized_odds	F1	0.0934027754428671
Fairlearn, equalized_odds	F1	0.0742864636019632
Fairlearn, equalized_odds	F1	0.05099548668105
Fairlearn, equalized_odds	F1	0.0699509077944161
Fairlearn, equalized_odds	F1	0.046992140296312
Fairlearn, equalized_odds	F1	0.0725547145565364
Fairlearn, equalized_odds	F1	0.0621753307342827
Fairlearn, equalized_odds	F1	0.0697725576071268
Fairlearn, equalized_odds	F1	0.0609757386565734
Fairlearn, equalized_odds	F1	0.0795687028638261
Fairlearn, equalized_odds	F1	0.0730978423286115
Fairlearn, equalized_odds	F1	0.0886990321740277
Fairlearn, equalized_odds	F1	0.0607848830487885
Fairlearn, equalized_odds	F1	0.0667699928917419
Fairlearn, equalized_odds	F1	0.0747315194091304
Fairlearn, equalized_odds	F1	0.0822836180027554
Fairlearn, equalized_odds	F1	0.0747401841680788
Fairlearn, equalized_odds	F1	0.0692635354591852
Fairlearn, equalized_odds	F1	0.0642386660601682
Fairlearn, equalized_odds	F1	0.0677721588591492
Fairlearn, false_positive_rate_parity	F1	0.0348950732685506
Fairlearn, false_positive_rate_parity	F1	0.0361979620908192
Fairlearn, false_positive_rate_parity	F1	0.0389776989464484
Fairlearn, false_positive_rate_parity	F1	0.0418831539901608
Fairlearn, false_positive_rate_parity	F1	0.0181536294703053
Fairlearn, false_positive_rate_parity	F1	0.0367615762414129
Fairlearn, false_positive_rate_parity	F1	0.0225682711469237
Fairlearn, false_positive_rate_parity	F1	0.0376790741882257
Fairlearn, false_positive_rate_parity	F1	0.0193519030489914
Fairlearn, false_positive_rate_parity	F1	0.017394971504959
Fairlearn, false_positive_rate_parity	F1	0.0448156003299163
Fairlearn, false_positive_rate_parity	F1	0.0329054395855553
Fairlearn, false_positive_rate_parity	F1	0.0323429177639808
Fairlearn, false_positive_rate_parity	F1	0.0225073656256092
Fairlearn, false_positive_rate_parity	F1	0.0215133784130612
Fairlearn, false_positive_rate_parity	F1	0.03312360181636
Fairlearn, false_positive_rate_parity	F1	0.0366952974688435
Fairlearn, false_positive_rate_parity	F1	0.0241386825017849
Fairlearn, false_positive_rate_parity	F1	0.0277994854613531
Fairlearn, false_positive_rate_parity	F1	0.039964189860102
Fairlearn, false_positive_rate_parity	F1	0.0266288274831964
Fairlearn, false_positive_rate_parity	F1	0.0494909362574399
Fairlearn, false_positive_rate_parity	F1	0.0282281210463771
Fairlearn, false_positive_rate_parity	F1	0.0257876469581795
Fairlearn, false_positive_rate_parity	F1	0.0353130890728623
Fairlearn, false_positive_rate_parity	F1	0.03069307447444
Fairlearn, false_positive_rate_parity	F1	0.0313934557063048
Fairlearn, false_positive_rate_parity	F1	0.0352699808624724
Fairlearn, false_positive_rate_parity	F1	0.0367171624393264
Fairlearn, false_positive_rate_parity	F1	0.0390765092647937
Fairlearn, true_positive_rate_parity	F1	0.0350892701872355
Fairlearn, true_positive_rate_parity	F1	0.0431394521567482
Fairlearn, true_positive_rate_parity	F1	0.0409484257418597
Fairlearn, true_positive_rate_parity	F1	0.0485604077696652
Fairlearn, true_positive_rate_parity	F1	0.0255068431889795
Fairlearn, true_positive_rate_parity	F1	0.0377676985190164
Fairlearn, true_positive_rate_parity	F1	0.0265704214875087
Fairlearn, true_positive_rate_parity	F1	0.0350604074956236
Fairlearn, true_positive_rate_parity	F1	0.0236079289763335
Fairlearn, true_positive_rate_parity	F1	0.0262356073385085
Fairlearn, true_positive_rate_parity	F1	0.0556282034825122
Fairlearn, true_positive_rate_parity	F1	0.038921631045316
Fairlearn, true_positive_rate_parity	F1	0.0388181778883269
Fairlearn, true_positive_rate_parity	F1	0.035813310634855
Fairlearn, true_positive_rate_parity	F1	0.0280301993705781
Fairlearn, true_positive_rate_parity	F1	0.0365378456966452
Fairlearn, true_positive_rate_parity	F1	0.0383972026116859
Fairlearn, true_positive_rate_parity	F1	0.027261751227945
Fairlearn, true_positive_rate_parity	F1	0.0338386916552389
Fairlearn, true_positive_rate_parity	F1	0.0474128155316192
Fairlearn, true_positive_rate_parity	F1	0.0332715770761143
Fairlearn, true_positive_rate_parity	F1	0.0574857990859038
Fairlearn, true_positive_rate_parity	F1	0.0302278804018086
Fairlearn, true_positive_rate_parity	F1	0.0253755024328326
Fairlearn, true_positive_rate_parity	F1	0.0608361023440868
Fairlearn, true_positive_rate_parity	F1	0.0300173787978666
Fairlearn, true_positive_rate_parity	F1	0.0318780694082275
Fairlearn, true_positive_rate_parity	F1	0.0383168957959752
Fairlearn, true_positive_rate_parity	F1	0.0485763682557884
Fairlearn, true_positive_rate_parity	F1	0.0481823423202802
Proposal, nsga2	F1	0.0328521573792806
Proposal, nsga2	F1	0.0239784803518179
Proposal, nsga2	F1	0.0430122349349588
Proposal, nsga2	F1	0.0393109467953051
Proposal, nsga2	F1	0.0219886726921866
Proposal, nsga2	F1	0.0387184742204383
Proposal, nsga2	F1	0.0319929490060131
Proposal, nsga2	F1	0.0250906168331745
Proposal, nsga2	F1	0.0010463185759505
Proposal, nsga2	F1	0.0122203315977825
Proposal, nsga2	F1	0.0457190175138738
Proposal, nsga2	F1	0.0381941746529035
Proposal, nsga2	F1	0.0269204031977754
Proposal, nsga2	F1	0.0301189982164345
Proposal, nsga2	F1	0.0137999989112427
Proposal, nsga2	F1	0.0281628998192784
Proposal, nsga2	F1	0.0318360292820829
Proposal, nsga2	F1	0.0289851523036889
Proposal, nsga2	F1	0.0288650797730231
Proposal, nsga2	F1	0.028525377402503
Proposal, nsga2	F1	0.0330572535406132
Proposal, nsga2	F1	0.045570459207827
Proposal, nsga2	F1	0.0230440911128088
Proposal, nsga2	F1	0.0099092841196026
Proposal, nsga2	F1	0.0400236159742271
Proposal, nsga2	F1	0.0094998788593934
Proposal, nsga2	F1	0.012854871678401
Proposal, nsga2	F1	0.0333008018318906
Proposal, nsga2	F1	0.029907269484893
Proposal, nsga2	F1	0.0300667530884836
Proposal, rnsga2	F1	0.0365613376594938
Proposal, rnsga2	F1	0.0356688895007637
Proposal, rnsga2	F1	0.0464939674738476
Proposal, rnsga2	F1	0.0429379618226601
Proposal, rnsga2	F1	0.0286663811563169
Proposal, rnsga2	F1	0.0419905305252671
Proposal, rnsga2	F1	0.0351225711939553
Proposal, rnsga2	F1	0.0381045166574374
Proposal, rnsga2	F1	0.0231174190137742
Proposal, rnsga2	F1	0.0243234138124649
Proposal, rnsga2	F1	0.0515823374157405
Proposal, rnsga2	F1	0.0379625549582366
