	Technique	Algorithm	Classifier	Seed	F1	F2	F3	F4	F5
0	Voting		VotingClassifier	0	0.0001758566949856	0.0	1.0	0.9769820971867008	0.9619741100323624
1	Fairlearn	false_positive_rate_parity	VotingClassifier	0	0.0302621367095645	0.0070298769771528	1.0	0.962915601023018	0.9538410525757334
2	Fairlearn	true_positive_rate_parity	VotingClassifier	0	0.0001758566949856	0.0	1.0	0.9769820971867008	0.9619741100323624
3	Fairlearn	equalized_odds	VotingClassifier	0	0.0752628347786048	0.0	1.0	0.8734015345268542	0.8584142394822006
4	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	0	0.0001758566949856	0.0	1.0	0.9769820971867008	0.9619741100323624
5	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	0	0.0001758566949856	0.0	1.0	0.9769820971867008	0.9619741100323624
6	Proposal	nsga2	FairVotingClassifier	0	0.0001758566949856	0.0	0.997557003257329	0.9769820971867008	0.9619741100323624
7	ProposalWeighted	F1_nsga2	FairVotingClassifier	0	0.0001758566949856	0.0	0.997557003257329	0.9769820971867008	0.9619741100323624
8	ProposalWeighted	F2_nsga2	FairVotingClassifier	0	0.0001758566949856	0.0	0.997557003257329	0.9769820971867008	0.9619741100323624
9	ProposalWeighted	F3_nsga2	FairVotingClassifier	0	0.0001758566949856	0.0	0.997557003257329	0.9769820971867008	0.9619741100323624
10	ProposalWeighted	F4_nsga2	FairVotingClassifier	0	0.0001758566949856	0.0	0.997557003257329	0.9769820971867008	0.9619741100323624
11	ProposalWeighted	F5_nsga2	FairVotingClassifier	0	0.0001758566949856	0.0	0.997557003257329	0.9769820971867008	0.9619741100323624
12	Proposal	rnsga2	FairVotingClassifier	0	0.0001758566949856	0.0	1.0	0.9769820971867008	0.9619741100323624
13	ProposalWeighted	F1_rnsga2	FairVotingClassifier	0	0.0001758566949856	0.0	1.0	0.9769820971867008	0.9619741100323624
14	ProposalWeighted	F2_rnsga2	FairVotingClassifier	0	0.0001758566949856	0.0	1.0	0.9769820971867008	0.9619741100323624
15	ProposalWeighted	F3_rnsga2	FairVotingClassifier	0	0.0001758566949856	0.0	1.0	0.9769820971867008	0.9619741100323624
16	ProposalWeighted	F4_rnsga2	FairVotingClassifier	0	0.0001758566949856	0.0	1.0	0.9769820971867008	0.9619741100323624
17	ProposalWeighted	F5_rnsga2	FairVotingClassifier	0	0.0001758566949856	0.0	1.0	0.9769820971867008	0.9619741100323624
18	AIF360	AdversarialDebiasing	AdversarialDebiasing	0	0.0001758566949856	0.0	1.0	0.9769820971867008	0.9619741100323624
19	AIF360	PostProcessingMeta	PostProcessingMeta	0	0.0001758566949856	0.0	0.998371335504886	0.9769820971867008	0.9619741100323624
20	Voting		VotingClassifier	1	0.0071798871404321	0.0	1.0	0.9788918205804747	0.969047619047619
21	Fairlearn	false_positive_rate_parity	VotingClassifier	1	0.0469076254906873	0.0017211703958691	1.0	0.9485488126649076	0.9594478951000692
22	Fairlearn	true_positive_rate_parity	VotingClassifier	1	0.0071798871404321	0.0	1.0	0.9788918205804747	0.969047619047619
23	Fairlearn	equalized_odds	VotingClassifier	1	0.0688526574922313	0.0	1.0	0.8852242744063324	0.9023809523809524
24	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	1	0.0071798871404321	0.0	1.0	0.9788918205804747	0.969047619047619
25	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	1	0.0071798871404321	0.0	1.0	0.9788918205804747	0.969047619047619
26	Proposal	nsga2	FairVotingClassifier	1	0.006980812835948	0.0027472527472527	1.0	0.9770261489386838	0.969047619047619
27	ProposalWeighted	F1_nsga2	FairVotingClassifier	1	0.006980812835948	0.0027472527472527	1.0	0.9770261489386838	0.969047619047619
28	ProposalWeighted	F2_nsga2	FairVotingClassifier	1	0.006980812835948	0.0027472527472527	1.0	0.9770261489386838	0.969047619047619
29	ProposalWeighted	F3_nsga2	FairVotingClassifier	1	0.006980812835948	0.0027472527472527	1.0	0.9770261489386838	0.969047619047619
30	ProposalWeighted	F4_nsga2	FairVotingClassifier	1	0.006980812835948	0.0027472527472527	1.0	0.9770261489386838	0.969047619047619
31	ProposalWeighted	F5_nsga2	FairVotingClassifier	1	0.006980812835948	0.0027472527472527	1.0	0.9770261489386838	0.969047619047619
32	Proposal	rnsga2	FairVotingClassifier	1	0.006980812835948	0.0027472527472527	1.0	0.9770261489386838	0.969047619047619
