Technique	variable	value
AIF360, AdversarialDebiasing	F1	0.0001758566949856
AIF360, AdversarialDebiasing	F1	0.0071798871404321
AIF360, AdversarialDebiasing	F1	0.011268817204301
AIF360, AdversarialDebiasing	F1	0.0035277053202093
AIF360, AdversarialDebiasing	F1	0.0074846625766871
AIF360, AdversarialDebiasing	F1	0.0017256462185578
AIF360, AdversarialDebiasing	F1	0.0051866966423928
AIF360, AdversarialDebiasing	F1	0.0043223180076628
AIF360, AdversarialDebiasing	F1	0.0259340887961355
AIF360, AdversarialDebiasing	F1	0.0012364926616848
AIF360, AdversarialDebiasing	F1	0.0081684981684981
AIF360, AdversarialDebiasing	F1	0.0186518223858815
AIF360, AdversarialDebiasing	F1	0.0239860390079158
AIF360, AdversarialDebiasing	F1	0.0036912894055751
AIF360, AdversarialDebiasing	F1	0.0163139329805996
AIF360, AdversarialDebiasing	F1	0.0168382798304058
AIF360, AdversarialDebiasing	F1	0.0026162790697674
AIF360, AdversarialDebiasing	F1	0.004341488546261
AIF360, AdversarialDebiasing	F1	0.0115581446624812
AIF360, AdversarialDebiasing	F1	0.0012257633162469
AIF360, AdversarialDebiasing	F1	0.0043517515348501
AIF360, AdversarialDebiasing	F1	0.025291983045162
AIF360, AdversarialDebiasing	F1	0.0127146272549445
AIF360, AdversarialDebiasing	F1	0.0028160646387832
AIF360, AdversarialDebiasing	F1	0.0152927336892588
AIF360, AdversarialDebiasing	F1	0.0013216020754047
AIF360, AdversarialDebiasing	F1	0.0055704099821746
AIF360, AdversarialDebiasing	F1	0.0167232277526395
AIF360, AdversarialDebiasing	F1	0.0013209700793864
AIF360, AdversarialDebiasing	F1	0.0099301652188724
AIF360, AdversarialDebiasing	F1	0.0001758566949856
AIF360, AdversarialDebiasing	F1	0.0061702450585501
AIF360, AdversarialDebiasing	F1	0.0120597410292605
AIF360, AdversarialDebiasing	F1	0.0055406778095853
AIF360, AdversarialDebiasing	F1	0.0067559176374158
AIF360, AdversarialDebiasing	F1	0.0044285897537704
AIF360, AdversarialDebiasing	F1	0.0051866966423928
AIF360, AdversarialDebiasing	F1	0.0087144308943089
AIF360, AdversarialDebiasing	F1	0.0259340887961355
AIF360, AdversarialDebiasing	F1	0.0016393755123048
AIF360, AdversarialDebiasing	F1	0.0081684981684981
AIF360, AdversarialDebiasing	F1	0.0206272539927872
AIF360, AdversarialDebiasing	F1	0.0257442498525603
AIF360, AdversarialDebiasing	F1	0.0044152276295133
AIF360, AdversarialDebiasing	F1	0.0148400100781053
AIF360, AdversarialDebiasing	F1	0.0212442729684109
AIF360, AdversarialDebiasing	F1	0.0016242155777039
AIF360, AdversarialDebiasing	F1	0.0032451082878526
AIF360, AdversarialDebiasing	F1	0.0150072503013679
AIF360, AdversarialDebiasing	F1	0.0012257633162469
AIF360, AdversarialDebiasing	F1	0.0017122341894504
AIF360, AdversarialDebiasing	F1	0.0256127450980392
AIF360, AdversarialDebiasing	F1	0.0102980312030976
