Technique	variable	value
AIF360, AdversarialDebiasing	F1	0.0732600732600732
AIF360, AdversarialDebiasing	F1	0.0436507936507936
AIF360, AdversarialDebiasing	F1	0.0909090909090908
AIF360, AdversarialDebiasing	F1	0.103030303030303
AIF360, AdversarialDebiasing	F1	0.170538101604278
AIF360, AdversarialDebiasing	F1	0.0238095238095238
AIF360, AdversarialDebiasing	F1	0.1516227180527383
AIF360, AdversarialDebiasing	F1	0.0297435897435897
AIF360, AdversarialDebiasing	F1	0.143020594965675
AIF360, AdversarialDebiasing	F1	0.0625
AIF360, AdversarialDebiasing	F1	0.1159090909090909
AIF360, AdversarialDebiasing	F1	0.06
AIF360, AdversarialDebiasing	F1	0.0945945945945946
AIF360, AdversarialDebiasing	F1	0.0147286821705426
AIF360, AdversarialDebiasing	F1	0.0532608695652174
AIF360, AdversarialDebiasing	F1	0.1252723311546841
AIF360, AdversarialDebiasing	F1	0.194078947368421
AIF360, AdversarialDebiasing	F1	0.2026578073089701
AIF360, AdversarialDebiasing	F1	0.2348837209302325
AIF360, AdversarialDebiasing	F1	0.0410839160839161
AIF360, AdversarialDebiasing	F1	0.0662139219015279
AIF360, AdversarialDebiasing	F1	0.1032608695652174
AIF360, AdversarialDebiasing	F1	0.064383865248227
AIF360, AdversarialDebiasing	F1	0.0233062330623305
AIF360, AdversarialDebiasing	F1	0.0027173913043478
AIF360, AdversarialDebiasing	F1	0.0189125295508273
AIF360, AdversarialDebiasing	F1	0.0346083788706739
AIF360, AdversarialDebiasing	F1	0.0214285714285714
AIF360, AdversarialDebiasing	F1	0.01954802259887
AIF360, AdversarialDebiasing	F1	0.0645933014354066
AIF360, AdversarialDebiasing	F1	0.2467532467532467
AIF360, AdversarialDebiasing	F1	0.3714285714285714
AIF360, AdversarialDebiasing	F1	
AIF360, AdversarialDebiasing	F1	0.2179054054054054
AIF360, AdversarialDebiasing	F1	0.0292397660818713
AIF360, AdversarialDebiasing	F1	0.0142857142857142
AIF360, AdversarialDebiasing	F1	
AIF360, AdversarialDebiasing	F1	0.0535714285714285
AIF360, AdversarialDebiasing	F1	0.1703296703296703
AIF360, AdversarialDebiasing	F1	0.0833333333333333
AIF360, AdversarialDebiasing	F1	0.2327586206896552
AIF360, AdversarialDebiasing	F1	0.09375
AIF360, AdversarialDebiasing	F1	
AIF360, AdversarialDebiasing	F1	
AIF360, AdversarialDebiasing	F1	
AIF360, AdversarialDebiasing	F1	
AIF360, AdversarialDebiasing	F1	
AIF360, AdversarialDebiasing	F1	0.205087440381558
AIF360, AdversarialDebiasing	F1	0.1136363636363636
AIF360, AdversarialDebiasing	F1	0.1888111888111888
AIF360, AdversarialDebiasing	F1	0.0757575757575758
AIF360, AdversarialDebiasing	F1	0.2430555555555555
AIF360, AdversarialDebiasing	F1	
AIF360, AdversarialDebiasing	F1	0.2736842105263157
AIF360, AdversarialDebiasing	F1	
AIF360, AdversarialDebiasing	F1	0.0625
AIF360, AdversarialDebiasing	F1	
AIF360, AdversarialDebiasing	F1	0.0112499999999999
AIF360, AdversarialDebiasing	F1	0.053030303030303
AIF360, AdversarialDebiasing	F1	0.1149425287356322
Fairlearn, equalized_odds	F1	0.2424242424242424
Fairlearn, equalized_odds	F1	0.1516516516516516
Fairlearn, equalized_odds	F1	0.037037037037037
Fairlearn, equalized_odds	F1	0.1239495798319327
Fairlearn, equalized_odds	F1	0.1507936507936507
Fairlearn, equalized_odds	F1	0.1076190476190476
Fairlearn, equalized_odds	F1	0.223076923076923
Fairlearn, equalized_odds	F1	0.0022172949002217
Fairlearn, equalized_odds	F1	0.1907692307692308
Fairlearn, equalized_odds	F1	0.0039682539682539
Fairlearn, equalized_odds	F1	0.0293103448275862
Fairlearn, equalized_odds	F1	0.0831918505942275
Fairlearn, equalized_odds	F1	0.1071428571428571
Fairlearn, equalized_odds	F1	0.108695652173913
Fairlearn, equalized_odds	F1	0.049645390070922
Fairlearn, equalized_odds	F1	0.1801801801801801
Fairlearn, equalized_odds	F1	0.2645502645502645
Fairlearn, equalized_odds	F1	0.2241379310344827
Fairlearn, equalized_odds	F1	0.2087542087542087
Fairlearn, equalized_odds	F1	0.1673502871205906
Fairlearn, equalized_odds	F1	0.0056818181818181
Fairlearn, equalized_odds	F1	0.2142857142857143
Fairlearn, equalized_odds	F1	0.0555555555555555
Fairlearn, equalized_odds	F1	0.3308823529411764
Fairlearn, equalized_odds	F1	0.1040723981900452
Fairlearn, equalized_odds	F1	0.0686653771760155
Fairlearn, equalized_odds	F1	0.0999999999999999
Fairlearn, equalized_odds	F1	0.0289473684210526
Fairlearn, equalized_odds	F1	0.0491990846681922
Fairlearn, equalized_odds	F1	0.0620300751879698
Fairlearn, false_positive_rate_parity	F1	0.2090909090909091
Fairlearn, false_positive_rate_parity	F1	0.165
Fairlearn, false_positive_rate_parity	F1	0.0012771392081737
Fairlearn, false_positive_rate_parity	F1	0.0116279069767442
Fairlearn, false_positive_rate_parity	F1	0.1285714285714285
Fairlearn, false_positive_rate_parity	F1	0.0960061443932411
Fairlearn, false_positive_rate_parity	F1	0.1638176638176638
Fairlearn, false_positive_rate_parity	F1	0.0254506892895016
Fairlearn, false_positive_rate_parity	F1	0.2115384615384615
Fairlearn, false_positive_rate_parity	F1	0.0162835249042145
Fairlearn, false_positive_rate_parity	F1	0.0156739811912225
Fairlearn, false_positive_rate_parity	F1	0.1334310850439882
Fairlearn, false_positive_rate_parity	F1	0.1044546850998464
Fairlearn, false_positive_rate_parity	F1	0.1666666666666666
Fairlearn, false_positive_rate_parity	F1	0.049645390070922
Fairlearn, false_positive_rate_parity	F1	0.1563706563706563
Fairlearn, false_positive_rate_parity	F1	0.2645502645502645
Fairlearn, false_positive_rate_parity	F1	0.21875
Fairlearn, false_positive_rate_parity	F1	0.1481481481481481
Fairlearn, false_positive_rate_parity	F1	0.1864623243933589
Fairlearn, false_positive_rate_parity	F1	0.0791666666666666
Fairlearn, false_positive_rate_parity	F1	0.203416149068323
Fairlearn, false_positive_rate_parity	F1	0.0616554054054054
Fairlearn, false_positive_rate_parity	F1	0.2392156862745098
Fairlearn, false_positive_rate_parity	F1	0.0784313725490196
Fairlearn, false_positive_rate_parity	F1	0.1126530612244897
Fairlearn, false_positive_rate_parity	F1	0.0444444444444444
Fairlearn, false_positive_rate_parity	F1	0.0432330827067669
Fairlearn, false_positive_rate_parity	F1	0.0043103448275861
Fairlearn, false_positive_rate_parity	F1	0.0157142857142856
Fairlearn, true_positive_rate_parity	F1	0.2142857142857142
Fairlearn, true_positive_rate_parity	F1	0.0953346855983772
Fairlearn, true_positive_rate_parity	F1	0.0675381263616557
Fairlearn, true_positive_rate_parity	F1	0.1908866995073891
Fairlearn, true_positive_rate_parity	F1	0.1507936507936507
Fairlearn, true_positive_rate_parity	F1	0.0693581780538302
Fairlearn, true_positive_rate_parity	F1	0.1923076923076923
Fairlearn, true_positive_rate_parity	F1	0.0022172949002217
Fairlearn, true_positive_rate_parity	F1	0.2013574660633484
